Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1084.193	-941.7784	-142.4146	42529.23	0.6920881	0.993843	0.998419	1.00157	1.00617	56.10187
10	-939.5426	-808.6191	-130.9235	19313.84	0.9348198	0.990869	0.997649	1.00232	1.00916	45.5922
20	-823.1436	-711.7667	-111.3769	167972.8	1.175181	0.9969	0.999206	1.00079	1.0031	29.52379
30	-772.9382	-673.4957	-99.44244	484004.8	1.712746	0.998174	0.999533	1.00047	1.00183	24.44278
40	-717.3934	-629.0795	-88.31395	607947.7	1.728662	0.99837	0.999583	1.00042	1.00163	18.05115
50	-620.6965	-559.1391	-61.55746	377832.9	3.877011	0.997933	0.999471	1.00053	1.00207	11.66149
60	-572.3238	-532.1044	-40.21936	209313.1	7.099452	0.997223	0.999289	1.00071	1.00278	7.617737
70	-561.7156	-520.4854	-41.23018	81518.74	5.396775	0.995552	0.998859	1.00113	1.00446	7.68016
80	-548.628	-516.7076	-31.9204	710553.8	10.85882	0.998492	0.999614	1.00038	1.00151	6.14283
90	-528.192	-505.0981	-23.09395	256026.1	9.691654	0.997489	0.999357	1.00064	1.00251	5.397585
100	-525.3131	-502.2999	-23.01317	924790.3	9.338671	0.998679	0.999662	1.00034	1.00132	5.397898
110	-515.1768	-489.3356	-25.84121	250391.6	9.791734	0.997461	0.99935	1.00065	1.00254	5.674451
120	-519.8739	-498.8752	-20.99871	662897.1	9.338336	0.998439	0.999601	1.0004	1.00156	5.182183
130	-525.9408	-504.2557	-21.68511	382775	9.082397	0.997946	0.999474	1.00052	1.00206	5.253378
140	-520.6794	-499.9916	-20.6878	627548.5	11.38341	0.998396	0.99959	1.00041	1.00161	5.07515
150	-513.6271	-491.0115	-22.61556	850450.8	8.363882	0.998622	0.999648	1.00035	1.00138	5.330567
160	-517.0647	-501.7069	-15.35781	416381.7	14.0257	0.998031	0.999496	1.0005	1.00197	4.460349
170	-512.1005	-503.5255	-8.575049	484882	12.96767	0.998175	0.999533	1.00047	1.00183	4.009073
